model,accuracy_mean,accuracy_std,accuracy_ci95,precision_macro_mean,precision_macro_std,precision_macro_ci95,recall_macro_mean,recall_macro_std,recall_macro_ci95,f1_macro_mean,f1_macro_std,f1_macro_ci95,training_time_mean,training_time_std,feature_method,selected_features
SVM-poly + scaling + SMOTE,0.7354367201426024,0.08003309438747423,0.02218404195420461,0.7751956006184031,0.12205443786066918,0.033831764108594974,0.6716640918993859,0.10723301164138442,0.02972347436188213,0.6865182092042937,0.11476949367060385,0.031812480601149565,0.008217310905456543,0.0007329919919666873,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
SVM-sigmoid + scaling + SMOTE,0.6622816399286987,0.09081949935712197,0.025173880872880187,0.6588648451589291,0.11787326795067642,0.032672802938708556,0.6330053475935828,0.11238806889256536,0.031152383330250385,0.6270353556955149,0.11121637234682427,0.030827605617639725,0.009583773612976075,0.0009366450195929835,SHAP Rank 1 (DecisionTree-pruned + scaling + SMOTE),Surfactant (HLB); Co-Surfactant (Ratio); Water Phase Amount (g); Oil (mPa.s); Water-phase potential (V); Surfactant Amount (g)
DecisionTree-pruned + scaling + SMOTE,0.8710516934046347,0.0606759520223794,0.01681851583494984,0.8752791340066882,0.07523288758217483,0.0208534925112196,0.8300320855614974,0.0856057746700731,0.02372871012095102,0.8393041726919099,0.0839286183428931,0.02326382610502393,0.004868812561035156,0.0007264250288170814,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
KNN + scaling + SMOTE,0.7433689839572192,0.06761986917146229,0.018743271469362555,0.7528984083076155,0.07910110304239916,0.021925707133361585,0.7136878589819766,0.07717721015040341,0.021392431230960525,0.7181697752586618,0.07369614918830421,0.02042753036064707,0.004280834197998047,0.000497393520338702,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
SVM-rbf + scaling + SMOTE,0.7365775401069519,0.073890770097682,0.020481476524441506,0.7520432244851412,0.09049330454108437,0.025083464282848217,0.7027244999009706,0.09032223396299231,0.025036045937842703,0.7069014506539141,0.08591071103334326,0.023813234168508106,0.01062368392944336,0.0010870258445833786,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
SVM-linear + scaling + SMOTE,0.7229233511586451,0.06642699576956561,0.0184126238317039,0.7361424165378601,0.08893279296678205,0.024650912542854987,0.6975836799366212,0.08957578408635124,0.024829140588163906,0.7005685949493475,0.08758718583712279,0.024277929275786533,0.009132313728332519,0.0009437576529642003,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
"Baseline SVM-linear (no scaling, no SMOTE)",0.7409269162210339,0.06494915389130376,0.018002986962356853,0.8258390686864572,0.08056101102588831,0.02233037298069474,0.671563477916419,0.09248393162696165,0.025635237960053295,0.6989889142497296,0.09717486991190574,0.02693549971444663,0.18249424934387207,0.09681264140877187,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
GaussianNB + scaling + SMOTE,0.7198752228163993,0.07153737185340014,0.019829147812354737,0.7211214840662546,0.08175928866861425,0.02266251859748571,0.6919219647454942,0.09248733781484982,0.025636182107166353,0.6920228703890701,0.08436078973898571,0.023383617904350208,0.004167861938476562,0.0006811152479198862,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
SVM-poly + scaling + SMOTE,0.7281818181818183,0.0740613354524598,0.020528754828689065,0.7723352809788392,0.09909687064311296,0.02746825113663562,0.665466825113884,0.10104321321411867,0.02800774977257994,0.6833063241602979,0.10185816913771399,0.028233644029677357,0.00823014259338379,0.0008449258021820397,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
SVM-sigmoid + scaling + SMOTE,0.6480748663101604,0.08914820392722188,0.0247106214147956,0.6321367741878577,0.11956388517035188,0.03314141812367447,0.6142519310754605,0.10785533571723002,0.029895973794939554,0.603353414126804,0.10488978815391121,0.0290739659484936,0.009403262138366699,0.0008857292315256536,"SHAP Rank 2 (Baseline SVM-linear (no scaling, no SMOTE))",Surfactant (HLB); Co-Surfactant (Ratio); Oil (mPa.s); Surfactant Amount (g); Water-phase potential (V); Oil Amount (g)
DecisionTree-pruned + scaling + SMOTE,0.8114616755793227,0.05670413336901065,0.01571758387280126,0.822529764804028,0.06600139618694693,0.018294653646135486,0.7784602891661714,0.06892183922850426,0.01910415915700715,0.7855655648916737,0.06530808413471532,0.018102477349919845,0.010690140724182128,0.017538731779415697,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
KNN + scaling + SMOTE,0.7547593582887699,0.052596032563451627,0.014578876425337044,0.7807085847875322,0.05976772165680322,0.016566767221601487,0.7192442067736186,0.07721728789004527,0.021403540213618875,0.7269088354908572,0.0712832891788252,0.019758719688142547,0.004660296440124512,0.0009924563796018355,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
"Baseline SVM-linear (no scaling, no SMOTE)",0.7480748663101605,0.05799214773899079,0.0160746032413505,0.8070981606524075,0.0725364522096653,0.020106078758341955,0.7021734997029114,0.0793923776446137,0.022006444333955603,0.7259666299833459,0.08212973679555857,0.022765201579480664,0.007208294868469238,0.0010450610430242963,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
SVM-linear + scaling + SMOTE,0.740909090909091,0.06079627947792604,0.01685186890398358,0.7561967082301245,0.10145563860593464,0.02812206825876428,0.7120051495345612,0.0849663450839219,0.023551469282339157,0.718733736087627,0.08856030780419012,0.024547664923385816,0.010144639015197753,0.0011465459973525724,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
SVM-rbf + scaling + SMOTE,0.709554367201426,0.07795881836296932,0.02160908197415641,0.7509564832374765,0.0970580569013478,0.026903120799863265,0.671773420479303,0.09695112322455446,0.02687348029688813,0.6851890116096623,0.09590942485783972,0.026584736241098594,0.010381960868835449,0.0010319927716616333,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
SVM-poly + scaling + SMOTE,0.7136541889483066,0.0668545083886369,0.018531124283923246,0.7531808380867473,0.12027545569735128,0.033338655410888506,0.6734141414141416,0.09273612645753669,0.02570514280060618,0.6711031180908299,0.1071638428116369,0.02970430174044614,0.008543267250061035,0.0007240045881344203,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
GaussianNB + scaling + SMOTE,0.6600713012477719,0.09192097867361507,0.025479195362539554,0.702687670516618,0.08574536959967445,0.02376740386131644,0.6808461081402258,0.09272690713855246,0.025702587335761282,0.657915453631297,0.09214802266964071,0.025542128747432783,0.0070933341979980465,0.0015222903200352218,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
SVM-sigmoid + scaling + SMOTE,0.6735294117647058,0.06852952615316961,0.018995415520527578,0.6727193810374925,0.0947639354902425,0.026267222787653404,0.6513198653198654,0.07902476329094034,0.021904546833836778,0.6421790251238484,0.07993567514041243,0.022157038716600137,0.00946199893951416,0.0006674762687917081,SHAP Rank 3 (SVM-rbf + scaling + SMOTE),Surfactant (HLB); Water Phase Amount (g); Water-phase potential (V); Oil Amount (g); Surfactant Amount (g); Co-Surfactant (Ratio)
